accident_id,date,location,summary
1,1983-06-02,"Cincinnati/Northern Kentucky International Airport, USA",In-flight fire leading to emergency landing
2,2015-03-29,"Halifax Stanfield International Airport, Canada",Hard landing due to striking power lines in heavy snow
3,2017-07-07,"San Francisco International Airport, USA",Near-miss landing on a taxiway with other aircraft
